Yaw (�),Pitch (�),Measured Distance (m),Actual Distance (m)
2.528068916834772,-1.4516095598182557,0.38764662197824606,0.4
27.36257587389689,-28.91578272408367,0.988166012686435,0.4
0.756414335660278,-0.4274479413868204,1.1794521944932848,0.4
-25.745762599898974,28.01951921100496,1.0089789437504972,0.4
3.3435526610690376,-3.3145685487301457,0.3904512878053804,0.4
23.82173824198146,-23.01561893568368,0.3570934124667008,0.4
-24.283993136595434,23.726608539547737,0.35551867611691296,0.4
-24.148651239562422,23.82443412966221,0.35527270262907557,0.4
4.554571125017562,-3.9705414823396077,0.3885897677839021,0.4
24.102370073955676,-22.986851196055703,0.35549599953017447,0.4
-23.349439592882362,23.469522880251535,0.3574870351051458,0.4
-22.795095478018066,22.35119800901324,0.5392352633545128,0.6
-0.8267106882490983,1.0627843137737116,0.5869814031300862,0.6
28.76357606187381,-27.710121903015608,0.5124052586568499,0.6
28.984867425787897,-27.49134505312096,0.7657182740315991,0.9
2.42895253860353,-1.1959794124296839,0.8796050446867462,0.9
-30.553325958485065,31.0136321892321,0.754468256780055,0.9
-30.41515862483884,25.790614102609958,1.0101710506005654,1.2
4.610278471119527,-10.766040689716712,1.1729785250110636,1.2
30.461838729506905,-27.015181290667957,1.0093251679318767,1.2
30.550437235677805,-34.74541090464503,1.3402742268579646,1.6
2.7241285244021025,-9.245020062931355,1.562859631566108,1.6
-30.570045139935658,24.87051553133251,1.3378549235188515,1.6
